22-Jan-04 17:48:07 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:07 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:10 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:10 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:10 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:13 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:13 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:13 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:16 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:16 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:16 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:20 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:20 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:20 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:23 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:23 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:23 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:26 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:26 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:26 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:29 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:29 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:29 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:32 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:32 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:32 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:35 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:35 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:35 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:35 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:38 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:38 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:38 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:41 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:41 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:41 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:45 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:45 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:45 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:48 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:48 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:48 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:51 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:51 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:51 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:54 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:54 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:54 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:57 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:57 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-04 17:48:57 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:50:10 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:50:10 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:50:10 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:50:13 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:50:13 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:50:13 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:50:16 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:50:16 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:50:16 - speed = 0 , lat = 0 , long = 0 , cabin = false , front = false
22-Jan-05 12:50:19 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:19 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:19 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:22 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:22 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:22 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:25 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:25 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:25 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:28 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:28 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
22-Jan-05 12:50:28 - speed = 0.0 , lat = 24.902055 , long = 67.087731 , cabin = false , front = false
